GWP
7.36
1.38
3.62
3.16
3.1
3.15
2.52
5.38
3.11
18.4
3.05
2.27
5.05
2.18
3.1
2.44
5.29
2.73
4.28
1.14
3.02
3.57
5.12
3.73
5.25
2.61
2.63
2.37
1.66
1.42
8.24
31.5
8.17
5.48
1.7
2.47
2.29
1.13
8.88
2.22
2.9
15.2
5.7
2.69
4.17
4.07
3.1
2.41
3.73
1.52
2.13
3.92
2.87
12.2
4.6
8.96
2.97
6.86
8.96
1.83
2.9
4.12
10.6
4.54
21.5
1.44
4.28
7.76
4.36
1.39
4.44
2.03
5.2
6.47
6.79
4.05
2.51
2.91
2.75
4.55
1.55
4.07
3.86
1.51
7.82
2.99
2.1
4.93
2.35
4.07
97.9
5.29
1.15
1.69
2.6
6.42
7.57
2.98
4.89
3.56
5.16
3.49
3.92
3.53
5.69
15.5
2.84
4.29
3.65
2.24
1.25
4.02
4.51
4.96
82.0
4.48
6.31
2.5
3.84
2.84
1.98
3.8
3.33
1.84
3.25
3.93
6.45
8.35
1.43
9.46
5.0
9.5
5.05
4.93
1.42
2.84
3.48
9.53
1.46
2.94
4.48
2.43
1.84
4.08
5.84
3.74
4.27
3.43
6.28
6.4
5.2
9.03
2.02
8.78
2.63
2.83
4.34
2.1
2.42
16.4
4.9
6.46
1.62
7.1
5.48
5.23
81.5
2.83
